Name,Age,Math,English,Biology
Student_96,18,51,93,46
Student_97,23,92,60,42
Student_98,21,40,50,86
Student_99,18,97,99,62
Student_100,16,97,76,85
Student_101,18,40,75,82
Student_102,20,86,74,86
Student_103,18,73,58,99
Student_104,16,71,59,84
Student_105,20,93,96,57
Student_106,22,87,57,97
Student_107,22,64,86,77
Student_108,24,79,80,74
Student_109,18,84,88,90
Student_110,22,92,53,54
Student_111,16,40,54,64
Student_112,19,55,70,94
Student_113,19,100,40,76
Student_114,20,78,92,67
Student_115,22,44,93,49
Student_116,22,61,93,78
Student_117,19,68,42,96
Student_118,22,94,55,56
Student_119,18,42,62,78
Student_120,21,51,96,61
Student_121,17,65,50,65
Student_122,24,55,51,83
Student_123,20,90,49,64
Student_124,21,76,71,56
Student_125,19,61,55,52
Student_126,22,96,47,59
Student_127,24,68,77,64
Student_128,22,53,51,43
Student_129,16,67,63,49
Student_130,16,44,67,42
Student_131,24,86,92,80
Student_132,24,88,47,84
Student_133,19,69,97,57
Student_134,24,85,67,86
Student_135,18,91,75,75
Student_136,22,44,65,86
Student_137,21,51,47,61
Student_138,23,55,97,73
Student_139,24,65,99,86
Student_140,20,65,89,47
Student_141,16,87,67,79
Student_142,18,60,67,88
Student_143,23,78,76,83
Student_144,21,75,80,58
Student_145,23,72,75,81
Student_146,24,69,66,80
Student_147,19,76,93,76
Student_148,16,62,56,45
Student_149,16,97,48,91
Student_150,19,49,72,65
Student_151,22,93,92,73
Student_152,17,44,59,98
Student_153,18,75,52,95
Student_154,16,73,67,98
Student_155,20,91,87,84
Student_156,16,70,68,45
Student_157,23,49,52,76
Student_158,16,97,85,96
Student_159,16,58,74,72
Student_160,17,97,100,92
Student_161,17,71,45,61
Student_162,21,40,57,60
Student_163,22,95,90,45
Student_164,20,44,44,45
Student_165,16,84,86,94
Student_166,16,43,64,87
Student_167,18,55,41,43
Student_168,17,63,49,69
Student_169,20,55,95,50
Student_170,21,94,69,69
Student_171,22,41,89,70
Student_172,19,88,98,63
Student_173,22,67,84,94
Student_174,23,71,44,48
Student_175,16,66,94,94
Student_176,21,59,95,42
Student_177,23,63,72,90
Student_178,20,51,93,70
Student_179,19,89,40,79
Student_180,17,74,57,76
Student_181,21,99,71,75
Student_182,21,72,86,63
Student_183,16,72,88,70
Student_184,24,100,50,45
Student_185,21,90,60,41
Student_186,18,82,65,59
Student_187,19,76,64,67
Student_188,19,51,61,50
Student_189,18,42,98,43
Student_190,18,40,66,54
Student_191,18,72,88,45
Student_192,19,79,52,93
Student_193,22,49,72,88
Student_194,19,82,73,69
Student_195,24,83,80,95
Student_196,16,68,74,77
Student_197,23,52,40,90
Student_198,22,51,60,96
Student_199,17,70,87,41
Student_200,23,85,94,54
Student_201,16,41,45,50
Student_202,24,100,67,47
Student_203,24,90,56,65
Student_204,17,89,44,90
Student_205,22,74,70,84
Student_206,18,62,44,83
Student_207,22,56,77,44
Student_208,24,65,42,45
Student_209,19,47,92,65
Student_210,16,68,62,93
Student_211,17,65,76,43
Student_212,16,49,92,58
Student_213,20,65,76,59
Student_214,20,73,49,72
Student_215,22,90,49,59
Student_216,24,80,58,88
Student_217,24,46,56,51
Student_218,18,43,60,86
Student_219,18,97,53,40
Student_220,18,92,48,65
Student_221,19,89,85,53
Student_222,23,84,40,77
Student_223,21,50,90,76
Student_224,23,68,84,50
Student_225,16,95,52,75
Student_226,23,75,43,52
Student_227,19,64,40,82
Student_228,16,60,88,42
Student_229,23,100,79,72
Student_230,19,96,71,45
Student_231,21,75,73,89
Student_232,23,49,67,95
Student_233,19,76,70,49
Student_234,18,48,47,44
Student_235,24,63,78,62
Student_236,18,74,65,49
Student_237,24,88,97,83
Student_238,17,74,73,41
Student_239,17,87,93,52
Student_240,17,75,93,79
Student_241,21,57,42,41
Student_242,18,88,98,59
Student_243,24,78,89,40
Student_244,19,71,51,76
Student_245,16,63,40,48
Student_246,19,62,93,56
Student_247,16,71,83,48
Student_248,20,76,44,50
Student_249,19,51,69,54
Student_250,23,88,69,63
Student_251,23,94,98,77
Student_252,22,52,96,94
Student_253,18,62,56,74
Student_254,16,64,87,69
Student_255,16,74,86,70
Student_256,18,80,62,88
Student_257,21,69,54,44
Student_258,22,56,76,99
Student_259,21,88,60,83
Student_260,21,59,53,89
Student_261,21,87,41,53
Student_262,18,64,50,92
Student_263,21,61,90,95
Student_264,23,52,78,50
Student_265,17,98,77,48
Student_266,20,58,99,73
Student_267,16,88,73,51
Student_268,16,75,77,74
Student_269,20,51,89,74
Student_270,18,100,73,40
Student_271,19,80,57,79
Student_272,18,58,69,61
Student_273,16,51,54,99
Student_274,16,48,66,68
Student_275,20,46,90,47
Student_276,21,67,73,50
Student_277,18,53,91,80
Student_278,24,70,96,76
Student_279,20,91,77,53
Student_280,23,58,72,99
Student_281,16,97,63,69
Student_282,20,86,54,74
Student_283,18,55,99,60
Student_284,16,92,69,76
Student_285,19,44,94,44
Student_286,20,74,81,58
Student_287,22,51,90,98
Student_288,16,64,56,53
Student_289,18,91,44,65
Student_290,17,98,68,43
Student_291,24,60,43,64
Student_292,21,75,49,84
Student_293,18,92,95,81
Student_294,23,62,56,64
Student_295,23,55,49,57
Student_296,17,96,56,79
Student_297,21,78,99,47
Student_298,22,84,59,78
Student_299,17,92,63,79
Student_300,17,81,44,53
